v1,v2,v3
-0.224,0.268,0.94
-0.188,0.292,0.956
-0.164,0.26,0.968
-0.124,0.244,0.952
-0.092,0.228,0.916
-0.064,0.22,0.936
-0.028,0.212,0.932
0.004,0.2,0.924
0.008,0.152,0.928
0.048,0.14,0.912
0.1,0.188,0.904
0.152,0.18,0.9
0.144,0.1,0.936
0.152,0.052,0.932
0.2,0.108,0.904
0.248,0.176,0.896
0.256,0.14,0.892
0.308,0.072,0.888
0.312,0.084,0.876
0.312,0.056,0.904
0.36,0.08,0.848
0.392,0.124,0.824
0.408,0.112,0.832
0.44,0.08,0.808
0.44,0.076,0.764
0.476,0.072,0.752
0.524,0.136,0.712
0.524,0.144,0.692
0.592,0.14,0.648
0.58,0.144,0.652
0.592,0.06,0.716
0.632,0.028,0.684
0.684,0.06,0.648
0.68,0.132,0.632
0.712,0.132,0.636
0.716,0.068,0.656
0.74,0.028,0.632
0.768,0.02,0.628
0.752,0.036,0.668
0.764,0.068,0.66
0.764,0.052,0.652
0.768,0.016,0.648
0.768,0.008,0.652
0.764,0.02,0.66
0.756,0.04,0.676
0.764,0.024,0.688
0.76,0,0.696
0.748,0.016,0.716
0.764,0.032,0.72
0.764,0.036,0.712
0.764,0.012,0.728
0.752,0.004,0.736
0.752,0.02,0.752
0.756,0.036,0.748
0.764,0.024,0.724
0.756,0.044,0.732
0.748,0.036,0.756
0.736,0.02,0.76
0.736,0.004,0.756
0.756,0.004,0.748
0.764,0.028,0.74
0.752,0.004,0.744
0.756,-0.012,0.74
0.756,0,0.736
0.752,0.024,0.732
0.74,0.02,0.716
0.744,0.008,0.724
0.728,0.012,0.74
0.72,0.016,0.736
0.736,0.056,0.732
0.724,0.052,0.74
0.724,0.036,0.748
0.732,0.012,0.74
0.736,0.036,0.744
0.732,0.052,0.76
0.744,0.04,0.768
0.744,0.024,0.768
0.736,0.032,0.764
0.732,0.024,0.776
0.732,0.028,0.776
0.728,0.028,0.768
0.724,0.028,0.768
0.724,0.032,0.764
0.72,0.032,0.764
0.72,0.016,0.764
0.72,0.016,0.768
0.708,0.02,0.76
0.7,0.02,0.764
0.704,0.02,0.756
0.712,0.004,0.756
0.716,0.008,0.768
0.708,0.012,0.76
0.712,0.012,0.76
0.704,0.012,0.764
0.704,0.016,0.764
0.704,0.012,0.768
0.708,0.028,0.764
